2025-01-23 22:44:03 configure sendmail:all 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:44:03 status unpacked sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 status half-configured sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 status installed sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:44:03 trigproc libc-bin:amd64 2.36-9+deb12u9 <none>
2025-01-23 22:44:03 status half-configured libc-bin:amd64 2.36-9+deb12u9
2025-01-23 22:44:03 status installed libc-bin:amd64 2.36-9+deb12u9
2025-01-23 22:48:55 startup packages remove
2025-01-23 22:48:55 status installed sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:48:55 remove sendmail:all 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:48:55 status half-configured sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:48:55 status half-installed sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:48:55 status config-files sendmail:all 8.17.1.9-2+deb12u2
2025-01-23 22:48:55 status not-installed sendmail:all <none>
2025-01-23 22:48:55 startup archives unpack
2025-01-23 22:48:55 install ssl-cert:all <none> 1.1.2
2025-01-23 22:48:55 status half-installed ssl-cert:all 1.1.2
2025-01-23 22:48:55 status unpacked ssl-cert:all 1.1.2
2025-01-23 22:48:56 install cpio:amd64 <none> 2.13+dfsg-7.1
2025-01-23 22:48:56 status half-installed cpio:amd64 2.13+dfsg-7.1
2025-01-23 22:48:56 status unpacked cpio:amd64 2.13+dfsg-7.1
2025-01-23 22:48:56 startup packages remove
2025-01-23 22:48:56 status installed sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:48:56 remove sendmail-bin:amd64 8.17.1.9-2+deb12u2 <none>
2025-01-23 22:48:56 status half-configured sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:48:56 status half-installed sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:48:56 status config-files sendmail-bin:amd64 8.17.1.9-2+deb12u2
2025-01-23 22:48:56 startup archives unpack
2025-01-23 22:48:56 install postfix:amd64 <none> 3.7.11-0+deb12u1
2025-01-23 22:48:56 status half-installed postfix:amd64 3.7.11-0+deb12u1
2025-01-23 22:50:26 status unpacked postfix:amd64 3.7.11-0+deb12u1
2025-01-23 22:50:26 startup packages configure
2025-01-23 22:50:26 configure cpio:amd64 2.13+dfsg-7.1 <none>
2025-01-23 22:50:26 status unpacked cpio:amd64 2.13+dfsg-7.1
2025-01-23 22:50:26 status half-configured cpio:amd64 2.13+dfsg-7.1
2025-01-23 22:50:26 status installed cpio:amd64 2.13+dfsg-7.1
2025-01-23 22:50:26 configure ssl-cert:all 1.1.2 <none>
2025-01-23 22:50:26 status unpacked ssl-cert:all 1.1.2
2025-01-23 22:50:26 status half-configured ssl-cert:all 1.1.2
2025-01-23 22:50:27 status installed ssl-cert:all 1.1.2
2025-01-23 22:50:27 configure postfix:amd64 3.7.11-0+deb12u1 <none>
2025-01-23 22:50:27 status unpacked postfix:amd64 3.7.11-0+deb12u1
2025-01-23 22:50:27 status half-configured postfix:amd64 3.7.11-0+deb12u1
2025-01-23 22:50:33 status installed postfix:amd64 3.7.11-0+deb12u1
2025-01-23 22:51:37 startup archives unpack
2025-01-23 22:51:37 install gsasl-common:all <none> 2.2.0-1
2025-01-23 22:51:37 status half-installed gsasl-common:all 2.2.0-1
2025-01-23 22:51:37 status unpacked gsasl-common:all 2.2.0-1
2025-01-23 22:51:37 install libgc1:amd64 <none> 1:8.2.2-3
2025-01-23 22:51:37 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-01-23 22:51:37 status half-installed libgc1:amd64 1:8.2.2-3
2025-01-23 22:51:38 status unpacked libgc1:amd64 1:8.2.2-3
2025-01-23 22:51:38 install guile-3.0-libs:amd64 <none> 3.0.8-2
2025-01-23 22:51:38 status half-installed guile-3.0-libs:amd64 3.0.8-2
2025-01-23 22:51:38 status unpacked guile-3.0-libs:amd64 3.0.8-2
2025-01-23 22:51:38 install libfribidi0:amd64 <none> 1.0.8-2.1
2025-01-23 22:51:38 status half-installed libfribidi0:amd64 1.0.8-2.1
2025-01-23 22:51:38 status unpacked libfribidi0:amd64 1.0.8-2.1
2025-01-23 22:51:38 install libgssglue1:amd64 <none> 0.7-1.1
2025-01-23 22:51:38 status half-installed libgssglue1:amd64 0.7-1.1
2025-01-23 22:51:38 status unpacked libgssglue1:amd64 0.7-1.1
2025-01-23 22:51:38 install libidn12:amd64 <none> 1.41-1
2025-01-23 22:51:38 status half-installed libidn12:amd64 1.41-1
2025-01-23 22:51:38 status unpacked libidn12:amd64 1.41-1
2025-01-23 22:51:38 install libntlm0:amd64 <none> 1.6-4
2025-01-23 22:51:38 status half-installed libntlm0:amd64 1.6-4
2025-01-23 22:51:38 status unpacked libntlm0:amd64 1.6-4
2025-01-23 22:51:38 install libgsasl18:amd64 <none> 2.2.0-1
2025-01-23 22:51:38 status half-installed libgsasl18:amd64 2.2.0-1
